name,k,inst,ILSc,ILSt,RTt,BNCc,Nds,BNCt,SEPt,Pgn,zAct,fAct
brd14051,50,0,133642.3,0.65,9.74,133642.3,1,11.17,0.02,4816,733,510
brd14051,50,1,123212.7,0.75,9.91,123212.7,43,66.13,0.6,4511,613,475
brd14051,50,2,137175.1,0.63,10.24,137175.1,46,20.48,0.42,3431,259,312
brd14051,50,3,150209.8,0.62,17.02,150209.8,103,423.74,1.74,6274,1508,1358
brd14051,50,4,116278.7,0.64,7.13,116278.7,1,27.85,0.35,4283,513,431
brd14051,50,5,124648.2,0.63,9.46,124648.2,526,134.51,1.99,5110,614,667
brd14051,50,6,121190.4,0.65,9.33,121190.4,1,12.32,0.07,4072,651,383
brd14051,50,7,124077.6,0.63,10.18,124077.6,1,12.16,0.06,4572,448,497
brd14051,50,8,125446.0,0.72,10.74,125446.0,1,14.64,0.13,5754,798,785
brd14051,50,9,118925.0,0.73,9.0,118925.0,0,9.92,0.0,3989,358,402
d15112,50,0,353657.8,0.71,14.06,353657.8,442,171.82,3.32,13381,2288,1385
d15112,50,1,355115.2,0.77,9.23,355115.2,1,12.87,0.08,3618,516,421
d15112,50,2,392196.1,0.68,5.77,392196.1,0,6.47,0.0,3686,250,316
d15112,50,3,350821.8,0.93,6.98,350821.8,0,7.96,0.0,2922,295,218
d15112,50,4,341493.6,0.68,6.58,341493.6,0,7.28,0.0,3920,383,339
d15112,50,5,360717.4,0.61,6.67,360717.4,0,7.36,0.0,4398,462,343
d15112,50,6,390251.4,0.61,7.99,390251.4,0,8.67,0.0,3519,368,336
d15112,50,7,327701.9,0.67,10.32,327701.9,1,43.74,0.44,5737,920,756
d15112,50,8,344600.5,0.68,9.81,344600.49,230,55.45,1.07,7173,766,939
d15112,50,9,347783.6,0.69,11.11,347783.6,0,12.07,0.0,5022,507,695
d18512,50,0,131512.3,0.61,10.86,131512.3,0,11.49,0.0,4406,714,455
d18512,50,1,121078.4,0.57,10.71,121078.4,1,12.82,0.06,5045,779,620
d18512,50,2,152941.3,0.55,14.78,152941.3,1076,95.69,3.82,9670,2054,1336
d18512,50,3,130662.6,0.64,13.19,130662.6,120,54.84,0.75,4920,487,524
d18512,50,4,138082.5,0.79,7.49,138082.5,59,19.73,0.3,4048,509,409
d18512,50,5,126707.5,0.73,14.09,126707.5,457,144.67,1.89,7337,1612,1038
d18512,50,6,140764.3,0.67,9.04,140764.3,1,27.18,0.2,4189,542,516
d18512,50,7,115801.8,0.72,9.92,115801.8,1,18.42,0.19,4444,696,513
d18512,50,8,129326.8,0.6,12.01,129326.8,271,67.69,1.64,8493,1704,1179
d18512,50,9,134276.4,0.73,11.06,134276.4,119,38.74,0.48,5112,901,643
fnl4461,50,0,81562.2,0.71,6.14,81562.2,0,6.89,0.0,3811,306,303
fnl4461,50,1,79804.8,0.59,14.28,79804.8,1,62.11,0.5,4911,959,702
fnl4461,50,2,73309.1,0.74,5.54,73309.1,1,6.57,0.01,3530,279,233
fnl4461,50,3,79335.1,0.8,7.58,79335.1,1,29.98,0.17,2944,372,366
fnl4461,50,4,75052.0,0.62,7.82,75052.0,0,8.64,0.0,4500,491,383
fnl4461,50,5,76738.1,0.59,8.51,76738.1,1,28.41,0.26,4746,661,577
fnl4461,50,6,75268.9,0.7,8.64,75268.9,1,10.88,0.05,3825,447,394
fnl4461,50,7,72956.3,0.64,7.69,72956.3,1,11.11,0.08,4124,537,526
fnl4461,50,8,70244.0,0.63,11.11,70244.0,1,20.78,0.15,4595,705,698
fnl4461,50,9,82157.0,0.63,12.92,82157.0,1,16.03,0.06,5648,1103,732
nrw1379,50,0,39206.1,0.72,13.05,39206.1,1,19.2,0.16,4993,817,690
nrw1379,50,1,44741.6,0.56,19.97,44741.6,4590,1064.14,35.3,115324,16380,17176
nrw1379,50,2,45914.2,0.7,7.57,45914.2,0,8.32,0.0,3713,376,391
nrw1379,50,3,46208.0,0.66,11.39,46208.0,1,13.43,0.08,4253,487,396
nrw1379,50,4,43557.9,0.68,8.28,43557.9,0,8.98,0.0,3744,404,393
nrw1379,50,5,46718.4,0.6,11.24,46718.4,1422,123.29,8.93,31693,3848,2321
nrw1379,50,6,49421.1,0.76,8.74,49421.1,2763,517.94,7.17,4653,1013,1006
nrw1379,50,7,49960.1,0.67,10.22,49960.1,93,46.91,0.83,6110,757,544
nrw1379,50,8,41560.9,0.62,9.05,41560.9,115,77.15,0.75,4108,483,444
nrw1379,50,9,44404.0,0.58,10.03,44404.0,1,15.05,0.13,4955,588,635
pr1002,50,0,272908.4,0.67,8.66,272908.4,1,10.31,0.05,3619,525,413
pr1002,50,1,249275.4,0.75,7.25,249275.4,1,8.61,0.06,3129,278,229
pr1002,50,2,277959.1,0.61,11.73,277959.1,388,65.48,1.48,7905,1539,932
pr1002,50,3,298846.1,0.57,9.92,298846.1,1,31.53,0.21,3912,486,494
pr1002,50,4,262518.4,0.63,10.54,262518.4,1,33.54,0.19,5340,562,502
pr1002,50,5,273318.8,0.73,7.0,273318.8,0,7.76,0.0,3851,475,364
pr1002,50,6,280317.3,0.76,7.43,280317.3,1,10.93,0.09,4525,579,384
pr1002,50,7,246341.0,0.66,17.28,246341.0,1,77.35,0.55,6356,971,924
pr1002,50,8,256971.4,0.58,13.39,256971.4,199,108.96,1.2,5878,882,775
pr1002,50,9,267596.7,0.59,12.02,267596.7,0,12.85,0.0,5173,1014,503
AVG,,,167741.19,0.6673333333333332,10.15683333333333,167741.1898333333,,67.01683333333334,1.3013333333333332,,,
