name,k,inst,ILSc,ILSt,RTt,BNCc,Nds,BNCt,SEPt,Pgn,zAct,fAct
brd14051,30,0,97380.3,0.26,1.32,97380.3,0,1.6,0.0,1122,303,211
brd14051,30,1,96322.5,0.27,2.65,96322.5,46,52.33,0.16,1439,580,400
brd14051,30,2,64109.4,0.26,1.37,64109.4,0,1.85,0.0,1197,301,295
brd14051,30,3,89582.5,0.27,1.86,89582.5,1,23.17,0.08,1097,469,453
brd14051,30,4,87615.7,0.26,1.23,87615.7,82,5.54,0.09,1155,368,247
brd14051,30,5,75079.5,0.24,1.05,75079.5,1,1.34,0.0,1208,354,235
brd14051,30,6,94540.8,0.28,1.06,94540.8,0,1.35,0.0,742,90,124
brd14051,30,7,81515.8,0.28,0.83,81515.8,0,1.13,0.0,1015,237,154
brd14051,30,8,74160.8,0.31,1.36,74160.8,0,1.71,0.0,1308,281,268
brd14051,30,9,90628.1,0.3,1.29,90628.1,1,4.1,0.03,1152,341,235
d15112,30,0,225070.2,0.27,0.64,225070.2,0,0.93,0.0,888,81,77
d15112,30,1,213332.3,0.31,1.48,213332.3,1,2.24,0.02,1285,308,278
d15112,30,2,208323.6,0.29,1.51,208323.6,0,1.81,0.0,1163,277,199
d15112,30,3,222870.4,0.3,1.05,222870.4,0,1.35,0.0,1187,288,197
d15112,30,4,216056.0,0.28,1.63,216056.0,1,3.73,0.03,1388,360,271
d15112,30,5,235215.8,0.26,2.06,235215.8,277,17.06,0.22,1760,716,502
d15112,30,6,207139.0,0.29,1.69,207139.0,1,2.86,0.02,1260,262,345
d15112,30,7,280309.0,0.33,1.33,280309.0,1,1.94,0.01,898,178,204
d15112,30,8,244015.4,0.26,1.45,244015.4,1,2.85,0.02,1117,326,256
d15112,30,9,238976.2,0.27,1.64,238976.2,0,1.93,0.0,1488,456,339
d18512,30,0,87971.3,0.24,1.5,87971.3,1,4.01,0.02,1335,459,357
d18512,30,1,91563.1,0.24,1.1,91563.1,1,4.19,0.04,1298,294,287
d18512,30,2,81268.9,0.26,1.36,81268.9,1,4.0,0.03,1230,305,256
d18512,30,3,88322.4,0.28,1.19,88322.4,1,1.75,0.01,1162,349,210
d18512,30,4,94606.6,0.25,2.11,94606.6,0,2.69,0.0,1688,668,439
d18512,30,5,87036.6,0.23,1.39,87036.6,1,3.39,0.02,1371,414,310
d18512,30,6,84771.6,0.29,1.01,84771.6,0,1.36,0.0,955,205,166
d18512,30,7,80245.1,0.27,1.01,80245.1,1,1.61,0.02,1083,164,210
d18512,30,8,72064.4,0.24,0.54,72064.4,0,0.79,0.0,821,122,85
d18512,30,9,80339.5,0.26,2.34,80339.5,0,2.65,0.0,1327,446,314
fnl4461,30,0,51192.2,0.28,0.99,51192.2,0,1.32,0.0,825,103,118
fnl4461,30,1,44154.7,0.29,0.97,44154.7,1,5.48,0.05,1093,221,185
fnl4461,30,2,46571.2,0.25,0.94,46571.2,1,1.43,0.01,1081,189,175
fnl4461,30,3,48591.4,0.22,1.84,48591.4,79,17.4,0.12,1570,514,377
fnl4461,30,4,54485.9,0.25,1.59,54485.9,0,1.86,0.0,1198,417,263
fnl4461,30,5,47907.3,0.27,1.13,47907.3,1,1.92,0.02,970,282,187
fnl4461,30,6,45882.1,0.23,1.44,45882.1,1,3.15,0.02,1199,324,255
fnl4461,30,7,44545.3,0.25,1.0,44545.3,0,1.36,0.0,1240,217,206
fnl4461,30,8,50365.3,0.26,0.83,50365.3,0,1.1,0.0,895,125,103
fnl4461,30,9,49179.6,0.25,1.18,49179.6,0,1.45,0.0,1165,374,235
nrw1379,30,0,31249.4,0.27,2.21,31249.4,175,43.78,0.24,1537,641,569
nrw1379,30,1,33138.5,0.29,1.13,33138.5,1,8.66,0.06,1225,261,279
nrw1379,30,2,31872.0,0.3,0.9,31872.0,0,1.21,0.0,892,191,137
nrw1379,30,3,31777.1,0.29,1.74,31777.1,1,10.59,0.06,1117,316,269
nrw1379,30,4,26671.2,0.28,1.87,26671.2,0,2.23,0.0,1161,339,285
nrw1379,30,5,29010.3,0.25,1.15,29010.3,42,4.45,0.06,1154,251,223
nrw1379,30,6,30398.1,0.24,1.32,30398.1,72,13.12,0.12,1264,257,287
nrw1379,30,7,30765.5,0.26,1.72,30765.5,1,2.36,0.01,1530,571,387
nrw1379,30,8,28796.4,0.26,1.21,28796.4,23,10.69,0.09,1069,280,208
nrw1379,30,9,26271.2,0.28,1.23,26271.2,1,1.87,0.01,1092,229,277
pr1002,30,0,168188.8,0.23,1.12,168188.8,1,1.94,0.01,1077,339,186
pr1002,30,1,195805.8,0.24,1.61,195805.8,1,7.34,0.05,1482,512,344
pr1002,30,2,182635.0,0.23,2.24,182635.0,182,21.18,0.18,2158,1058,627
pr1002,30,3,139784.7,0.26,1.46,139784.7,1,1.99,0.01,1268,316,295
pr1002,30,4,164916.7,0.27,1.27,164916.7,1,1.95,0.01,970,305,278
pr1002,30,5,163642.3,0.26,2.06,163642.3,0,2.35,0.0,1234,442,348
pr1002,30,6,160585.9,0.28,1.49,160585.9,0,1.78,0.0,1174,350,238
pr1002,30,7,166887.0,0.28,1.91,166887.0,1,6.79,0.03,1216,499,404
pr1002,30,8,161025.8,0.26,0.86,161025.8,0,1.29,0.0,894,95,122
pr1002,30,9,144167.0,0.28,0.68,144167.0,0,0.96,0.0,693,109,104
AVG,,,107014.94166666667,0.26683333333333326,1.3856666666666664,107014.94166666667,,5.671,0.03300000000000001,,,
