name,k,inst,ILSc,ILSt,RTt,BNCc,Nds,BNCt,SEPt,Pgn,zAct,fAct
brd14051,40,0,105143.25,0.47,4.82,105143.25,1,8.72,0.02,2422,351,382
brd14051,40,1,126325.27,0.39,7.68,126325.27,3096,871.48,5.71,7135,3075,2970
brd14051,40,2,143188.05,0.4,7.16,143188.05,189,98.54,0.55,3498,1202,724
brd14051,40,3,121927.24,0.46,4.64,121927.23,233,64.61,0.51,3016,583,468
brd14051,40,4,149437.35,0.47,5.89,149437.35,1,37.77,0.14,2651,1018,611
brd14051,40,5,128494.47,0.44,4.17,128494.47,77,82.26,0.51,3214,544,457
brd14051,40,6,124304.29,0.46,7.86,124304.29,0,8.6,0.0,2669,613,499
brd14051,40,7,134612.26,0.45,2.99,134612.26,1,4.72,0.02,2093,405,341
brd14051,40,8,127747.78,0.44,5.44,127747.78,1,8.05,0.03,2610,674,499
brd14051,40,9,101888.43,0.44,3.4,101888.43,72,18.69,0.18,2351,471,424
d15112,40,0,369626.22,0.46,2.07,369626.22,0,2.66,0.0,1916,311,175
d15112,40,1,321232.89,0.49,3.96,321232.89,0,4.48,0.0,2529,667,400
d15112,40,2,359156.91,0.46,4.44,359156.91,1,6.58,0.05,3210,824,556
d15112,40,3,363123.82,0.4,4.65,363123.82,1,5.77,0.01,2589,658,485
d15112,40,4,406298.73,0.44,3.52,406298.73,0,4.03,0.0,2096,419,321
d15112,40,5,329335.46,0.51,3.95,329335.46,1,4.66,0.0,2264,453,420
d15112,40,6,409910.07,0.42,6.22,409910.07,1,7.62,0.03,2575,592,542
d15112,40,7,337194.97,0.46,4.34,337194.97,1,7.89,0.04,2533,650,411
d15112,40,8,367393.25,0.41,2.6,367393.25,0,3.29,0.0,2308,416,296
d15112,40,9,324889.74,0.44,3.78,324889.74,1,17.21,0.12,2351,430,386
d18512,40,0,128094.79,0.43,4.54,128094.79,1,10.37,0.04,2676,642,468
d18512,40,1,130802.48,0.4,3.83,130802.48,0,4.86,0.0,2307,471,471
d18512,40,2,157219.02,0.48,3.55,157219.02,1,5.1,0.03,2250,449,352
d18512,40,3,147203.18,0.39,8.24,147203.18,592,126.87,1.03,3924,1334,828
d18512,40,4,143888.97,0.43,4.3,143888.97,1,7.98,0.04,2770,647,418
d18512,40,5,148522.55,0.4,4.26,148522.55,1,7.18,0.06,2704,455,453
d18512,40,6,140755.52,0.39,3.86,140755.52,0,4.27,0.0,2642,541,368
d18512,40,7,146353.46,0.4,4.67,146353.46,1,25.1,0.14,3154,816,647
d18512,40,8,124288.64,0.42,5.61,124288.64,156,45.18,0.4,3610,863,735
d18512,40,9,120130.41,0.39,4.65,120130.41,1,6.14,0.03,2771,487,446
fnl4461,40,0,68312.82,0.48,3.21,68312.82,52,17.25,0.17,1904,365,264
fnl4461,40,1,78327.42,0.41,4.15,78327.42,1,5.69,0.01,3071,497,429
fnl4461,40,2,85335.92,0.54,6.34,85335.92,1,9.38,0.04,2756,747,708
fnl4461,40,3,73069.02,0.48,3.42,73069.02,1,15.21,0.1,2293,537,316
fnl4461,40,4,75215.15,0.44,4.5,75215.15,1,19.03,0.13,2371,570,394
fnl4461,40,5,67639.91,0.46,4.72,67639.91,1,17.8,0.09,2371,509,439
fnl4461,40,6,77508.49,0.48,5.74,77508.49,1,26.83,0.13,3007,802,572
fnl4461,40,7,84113.61,0.44,3.83,84113.61,1,14.45,0.09,2680,528,368
fnl4461,40,8,83001.23,0.43,5.03,83001.23,1,30.81,0.16,2327,570,395
fnl4461,40,9,74351.62,0.47,4.02,74351.62,365,55.62,0.69,3287,799,498
nrw1379,40,0,42766.48,0.5,5.08,42766.48,1,26.76,0.09,2878,555,460
nrw1379,40,1,39820.14,0.49,1.41,39820.14,0,1.92,0.0,1619,109,121
nrw1379,40,2,50286.94,0.46,4.51,50286.94,1013,112.34,1.39,2675,620,589
nrw1379,40,3,45926.21,0.44,3.5,45926.21,1,7.01,0.04,2788,483,482
nrw1379,40,4,45288.76,0.46,3.27,45288.76,1,4.55,0.02,2022,390,303
nrw1379,40,5,46485.34,0.48,3.26,46485.34,0,3.97,0.0,1995,332,271
nrw1379,40,6,37247.82,0.49,3.55,37247.82,1,15.79,0.1,2574,547,428
nrw1379,40,7,46838.9,0.45,6.69,46838.9,1,12.46,0.05,3369,810,642
nrw1379,40,8,49778.97,0.41,4.38,49778.97,71,43.68,0.34,3266,750,545
nrw1379,40,9,43926.95,0.46,3.18,43926.95,1,5.48,0.04,2021,382,351
pr1002,40,0,289842.66,0.47,4.56,289842.66,0,5.07,0.0,2890,694,461
pr1002,40,1,263878.88,0.48,5.58,263878.88,1,47.08,0.2,3252,835,530
pr1002,40,2,255799.97,0.43,2.67,255799.97,0,3.3,0.0,2024,273,295
pr1002,40,3,232641.32,0.39,5.68,232641.32,1,10.22,0.05,3318,733,661
pr1002,40,4,287543.41,0.38,6.0,287543.41,0,6.61,0.0,3015,962,571
pr1002,40,5,239719.09,0.49,3.31,239719.09,199,45.64,0.46,2245,307,305
pr1002,40,6,280490.42,0.42,3.97,280490.42,1,6.8,0.02,2489,527,363
pr1002,40,7,280679.54,0.44,5.64,280679.54,20,51.57,0.34,3173,1122,547
pr1002,40,8,297390.05,0.41,6.12,297390.05,171,67.5,0.4,3869,1123,797
pr1002,40,9,238211.6,0.45,3.73,238211.6,1,13.57,0.09,2151,470,394
AVG,,,168665.4685,0.4445,4.5356666666666685,168665.46833333332,,36.90116666666666,0.24883333333333327,,,
