name,k,inst,ILSc,ILSt,RTt,BNCc,Nds,BNCt,SEPt,Pgn,zAct,fAct
brd14051,50,0,174047.06,0.66,13.61,174047.06,1,15.13,0.03,5003,822,571
brd14051,50,1,160073.24,0.72,10.83,160073.24,1,74.21,0.52,4559,909,619
brd14051,50,2,176699.33,0.65,5.74,176699.33,1,16.09,0.26,4281,407,393
brd14051,50,3,180788.36,0.68,14.11,180788.36,1,48.09,0.21,4828,1229,1004
brd14051,50,4,152488.67,0.59,6.8,152488.67,1,12.66,0.14,4548,614,484
brd14051,50,5,141582.22,0.71,7.34,141582.22,1,16.93,0.17,4353,473,570
brd14051,50,6,145430.39,0.71,8.44,145430.39,1,45.92,0.31,4068,790,472
brd14051,50,7,163752.76,0.62,8.6,163752.76,1,16.17,0.09,4958,642,574
brd14051,50,8,140001.87,0.71,10.19,140001.87,414,44.31,1.14,5712,795,732
brd14051,50,9,155620.47,0.7,8.46,155620.47,1,10.84,0.05,4002,467,527
d15112,50,0,437634.18,0.65,15.52,437634.18,1559,589.21,9.21,21977,4767,2499
d15112,50,1,415367.99,0.74,6.6,415367.99,1,9.03,0.04,3499,457,378
d15112,50,2,513466.18,0.73,5.38,513466.18,1,6.56,0.05,3526,281,272
d15112,50,3,467039.44,0.92,6.08,467039.44,0,7.02,0.0,3216,266,247
d15112,50,4,437692.3,0.67,6.01,437692.3,0,6.7,0.0,3894,378,328
d15112,50,5,431166.64,0.63,8.69,431166.64,1,9.83,0.02,4699,709,480
d15112,50,6,477192.88,0.63,29.33,477192.88,1,48.62,0.26,4942,824,590
d15112,50,7,412118.68,0.61,13.42,412118.68,170,147.9,1.19,6491,1152,920
d15112,50,8,446897.04,0.73,12.36,446897.04,1,20.26,0.1,5992,961,1023
d15112,50,9,426038.99,0.71,15.42,426038.99,0,16.88,0.0,4816,695,813
d18512,50,0,170756.3,0.68,11.14,170756.3,1,25.66,0.11,4735,1119,739
d18512,50,1,157917.62,0.63,12.35,157917.62,1,53.28,0.36,5348,903,711
d18512,50,2,188348.32,0.59,12.54,188348.32,72,100.58,0.76,5382,1126,664
d18512,50,3,174802.34,0.64,11.14,174802.34,1,22.92,0.14,4190,613,613
d18512,50,4,183367.61,0.74,8.99,183367.61,1,14.68,0.11,4838,711,513
d18512,50,5,157270.73,0.68,54.44,157270.73,1265,247.42,3.55,8744,2167,1207
d18512,50,6,168953.5,0.7,9.45,168953.5,1,45.11,0.36,4370,683,553
d18512,50,7,149189.62,0.71,11.73,149189.62,1,14.14,0.06,4694,813,662
d18512,50,8,161569.84,0.63,9.66,161569.84,484,58.44,1.83,7835,1321,874
d18512,50,9,166557.75,0.72,10.74,166557.75,118,50.11,0.47,4417,971,661
fnl4461,50,0,105423.47,0.73,6.95,105423.47,1,10.49,0.11,4027,594,414
fnl4461,50,1,103432.65,0.6,15.69,103432.65,46,108.61,0.7,4880,1096,737
fnl4461,50,2,94146.38,0.74,8.98,94146.38,1,18.82,0.12,3904,670,447
fnl4461,50,3,105326.28,0.75,9.87,105326.28,163,60.24,0.72,4041,537,511
fnl4461,50,4,93235.52,0.65,10.11,93235.52,1,17.3,0.06,4759,708,561
fnl4461,50,5,95398.58,0.67,10.56,95398.58,1,13.26,0.04,4642,783,632
fnl4461,50,6,99996.33,0.76,6.74,99996.33,1,8.27,0.05,3510,349,307
fnl4461,50,7,97328.15,0.62,7.41,97328.15,1,16.68,0.15,4054,608,558
fnl4461,50,8,87452.06,0.69,8.21,87452.06,0,9.34,0.0,4560,666,560
fnl4461,50,9,97037.39,0.68,12.6,97037.39,1,14.21,0.01,5285,1162,741
nrw1379,50,0,47209.92,0.73,10.96,47209.92,1,21.04,0.19,5079,935,777
nrw1379,50,1,57379.6,0.59,20.61,57379.6,3307,653.7,11.7,16280,5174,3390
nrw1379,50,2,56369.78,0.67,11.65,56369.78,1,13.36,0.04,4564,554,635
nrw1379,50,3,51757.24,0.66,7.64,51757.24,1,15.67,0.19,4162,577,407
nrw1379,50,4,56870.22,0.69,8.15,56870.22,0,8.87,0.0,3435,429,386
nrw1379,50,5,60077.98,0.55,9.66,60077.98,1,65.48,0.49,5051,828,612
nrw1379,50,6,67207.25,0.67,9.14,67207.25,313,166.9,1.36,3866,603,551
nrw1379,50,7,65393.23,0.65,13.03,65393.23,893,182.05,3.71,11576,1533,896
nrw1379,50,8,49944.96,0.73,8.4,49944.96,0,9.34,0.0,3722,438,398
nrw1379,50,9,60088.24,0.61,9.46,60088.24,1,10.5,0.03,4511,611,536
pr1002,50,0,331342.08,0.68,10.32,331342.06,404,257.36,2.11,6841,790,525
pr1002,50,1,298503.31,0.74,8.32,298503.31,1,10.75,0.05,3754,534,393
pr1002,50,2,349455.52,0.69,9.17,349455.52,0,10.29,0.0,4470,980,596
pr1002,50,3,399660.46,0.62,9.42,399660.46,1,21.41,0.1,3878,558,470
pr1002,50,4,310828.08,0.6,14.92,310828.08,1,76.44,0.39,5026,952,731
pr1002,50,5,315033.62,0.87,6.81,315033.62,0,7.72,0.0,4007,423,346
pr1002,50,6,364740.58,0.8,9.72,364740.58,1,14.88,0.07,4755,838,549
pr1002,50,7,291421.56,0.66,18.15,291421.56,1,108.96,0.61,6624,1133,1013
pr1002,50,8,305088.49,0.62,13.89,305088.49,1,79.1,0.39,5590,951,818
pr1002,50,9,351570.94,0.7,13.48,351570.94,0,14.82,0.0,5397,1376,645
AVG,,,210042.53650000005,0.6818333333333333,11.418833333333332,210042.53616666672,,63.67600000000001,0.7488333333333331,,,
